source_id,first_name,last_name,institution
105,Joseph,Goodman,
132,Shigeru,Tanaka,
103,C.,Winter,
111,Charles,Marcus,
111,R.,Westervelt,
157,E.,Majani,
157,Ruth,Erlanson,
157,Yaser,Abu-Mostafa,
184,Raoul,Tawel,
113,Yoshua,Bengio,
113,Régis,Cardin,
113,Renato,de Mori,
113,Piero,Cosi,
128,Andreas,Andreou,
166,Paul,Mueller,
166,Jan,Van der Spiegel,
166,David,Blackman,
166,Timothy,Chiu,
166,Thomas,Clare,
166,Joseph,Dao,
166,Christopher,Donham,
166,Tzu-pu,Hsieh,
166,Marc,Loinaz,
150,Rodney,Goodman,
150,John,Miller,
150,Padhraic,Smyth,
135,Richard,Fozzard,
135,Gary,Bradshaw,
135,Louis,Ceci,
112,John,Miller,
95,Dean,Pomerleau,
175,John,Moody,
162,Lawrence,Davis,
147,Anya,Hurlbert,
147,Tomaso,Poggio,
179,M.,Walker,
179,S.,Haghighi,
179,A.,Afghan,
179,Larry,Akers,
178,Jun,Zhang,
178,John,Miller,
143,Erich,Smythe,
177,Phillip,Alvelda,
177,A.,San Martin,
165,Eugene,Santos,
186,Bernd-Peter,Paris,
186,Geoffrey,Orsak,
186,Mahesh,Varanasi,
186,Behnaam,Aazhang,
93,Norberto,Grzywacz,
93,Franklin,Amthor,
130,David,Rogers,
188,David,Servan-Schreiber,
188,Axel,Cleeremans,
188,James,McClelland,
133,Yves,Chauvin,
122,Yann,Le Cun,
122,Conrad,Galland,
122,Geoffrey,Hinton,
189,Allan,Hartstein,
189,R.,Koch,
108,Eric,Mjolsness,
108,Gene,Gindi,
108,P.,Anandan,
171,Clay,Spence,
171,John,Pearson,
171,J.,Gelfand,
171,R.,Peterson,
171,W.,Sullivan,
146,Stanley,Ahalt,
146,F.,Garber,
146,I.,Jouny,
146,Ashok,Krishnamurthy,
142,Gerald,Tesauro,
151,J.,Lazzaro,
151,S.,Ryckebusch,
151,M.A.,Mahowald,
151,C. A.,Mead,
107,John,Denker,
107,W.,Gardner,
107,Hans,Graf,
107,Donnie,Henderson,
107,R.,Howard,
107,W.,Hubbard,
107,L.,Jackel,
107,Henry,Baird,
107,Isabelle,Guyon,
99,Bahram,Nabet,
99,Robert,Darling,
99,Robert,Pinter,
153,Griff,Bilbro,
153,Wesley,Snyder,
160,David,Touretzky,
161,Martine,Naillon,
161,Jean-Bernard,Theeten,
174,John,Bridle,
116,Moshe,Kam,
116,Roger,Cheng,
124,Kenneth,Miller,
124,Joseph,Keller,
124,Michael,Stryker,
104,Nigel,Allinson,
104,Martin,Johnson,
104,Kevin,Moon,
183,Bartlett,Mel,
129,Subutai,Ahmad,
129,Gerald,Tesauro,
120,Alexandr,Kirillov,
120,G.,Borisyuk,
120,R.,Borisyuk,
120,Ye.,Kovalenko,
120,V.,Makarenko,
120,V.,Chulaevsky,
120,V.,Kryukov,
139,Terence,Sanger,
97,Allen,Waxman,
97,Michael,Seibert,
97,Robert,Cunningham,
97,Jian,Wu,
127,Griff,Bilbro,
127,Reinhold,Mann,
127,Thomas,Miller,
127,Wesley,Snyder,
127,David,van den Bout,
